title,year,n_quotes_measured,circ_sum,circ_top3,circ_max
Jupiter Ascending,2015,4.0,8.39072252736229,6.486024535064082,7.941295570906532
Jurassic Park,1993,4.0,9.457669090078747,8.314844492758652,8.64135583403666
Jurassic Park III,2001,4.0,9.878426121940757,7.338001750102915,9.723223876851618
Jurassic World,2015,4.0,10.545841313750174,8.055294703166195,10.373522431293592
Jurassic World Dominion,2022,4.0,16.076127583280375,9.64292359021872,16.0625830467363
Justice League,2017,4.0,8.133293861222633,6.545615480638247,7.687538766201629
King Arthur: Legend of the Sword,2017,4.0,8.427049641563272,6.763704027227714,8.219056661060598
Kung Fu Panda,2008,4.0,7.053585727193677,4.596868324232277,6.505784060128229
Kung Fu Panda 2,2011,4.0,16.60197142799669,13.962268579206532,16.51013780630191
Kung Fu Panda 3,2016,4.0,16.730628422954915,15.074592852475382,16.51013780630191
Labyrinth,1986,4.0,8.615770754777232,7.313704259918464,7.9658927350845286
Lady Bird,2017,4.0,7.685703061234547,6.454059337640145,6.994849985833071
Lightyear,2022,4.0,10.873508606831251,8.566665830376776,10.747229096720554
Little Miss Sunshine,2006,4.0,16.498405057600344,11.620457659739424,16.496532155171714
"Lock, Stock and Two Smoking Barrels",1998,4.0,5.4638318050256105,3.214214044679302,5.365976015021851
Logan,2017,4.0,9.665484138314895,7.713195100356945,9.517898598432753
Looper,2012,4.0,8.772765209949785,7.402453675527671,8.14060704285845
Lost in Translation,2003,4.0,7.01211529430638,5.792164106772668,5.840641657373398
MacGruber,2010,4.0,14.425774375005519,10.694563721484469,14.392124484065864
Madagascar,2005,4.0,7.622174594817622,6.341668907228183,7.1631723908466425
Madagascar 2,2008,4.0,7.622174594817622,6.341668907228183,7.1631723908466425
Man of Steel,2013,4.0,17.484870362240134,11.862896426574347,17.484187330270895
Mandy,2018,4.0,11.040631214253112,8.090031666074935,11.007103966325696
Mars Needs Moms,2011,4.0,5.6240175061873385,4.059097480034483,4.983606621708336
Megamind,2010,4.0,17.081289014351484,9.297826573936531,17.081270006899263
Memento,2000,4.0,11.77238551629033,6.600086770406456,11.767575435251748
Minions,2015,4.0,12.65526113506199,9.67505892702293,12.560247968016562
Moana,2016,4.0,12.038257362137841,10.057399086797924,11.643962499267984
Monster Trucks,2016,4.0,6.729824070489475,5.402328420986574,6.29156913955832
Monsters University,2013,4.0,7.805882040228621,5.401276648719787,7.372118028337787
"Monsters, Inc.",2001,4.0,11.883115664987255,10.470537170884816,11.484536278461452
Moonlight,2016,4.0,16.440299795023456,13.184430257521536,16.395727463314174
Mortal Engines,2018,4.0,9.083075020930307,6.359345842098506,8.653645314551737
Mulan,1998,4.0,13.956994495115902,10.91429702829557,13.79326597151132
Napoleon Dynamite,2004,4.0,10.897868317624576,9.657194473778707,10.328787967145063
Nightcrawler,2014,4.0,8.7879833961978,7.580063709151678,7.824445930877619
No Country for Old Men,2007,4.0,14.540838343553665,11.971920803939797,14.47303107901565
Office Space,1999,4.0,13.458957035225119,8.845090308771203,13.455975814408239
Oldboy,2003,4.0,12.830113555316569,7.5381260589723835,12.829336379587506
Once Upon a Time in Hollywood,2019,4.0,9.624963417869113,6.978167857355886,9.568084743872936
Oppenheimer,2023,4.0,7.327123292259293,5.991912163099962,6.878326468291325
Pan,2015,4.0,12.157591183707268,7.771410008738228,12.154784614286667
Pan's Labyrinth,2006,4.0,7.858640655620791,4.899306579320917,7.7752758464868625
Paranormal Activity,2007,4.0,16.068906457187165,10.833321414628607,15.562969942511762
Pi,1998,4.0,8.189244525735901,6.006846652153229,8.0774471493312
Pirates of the Caribbean: Dead Man's Chest,2006,4.0,10.783404714295925,6.773853037419607,10.776891660007811
Pirates of the Caribbean: Dead Men Tell No Tales,2017,4.0,17.648513472667894,8.802405661846342,17.648490377696987
Pirates of the Caribbean: The Curse of the Black Pearl,2003,4.0,10.178008394710085,8.686519980614127,9.883335864325275
Primer,2004,4.0,9.064505023752638,6.629778348628707,9.004668301573977
Pulp Fiction,1994,4.0,11.02645093206807,8.738263812412224,10.902297921958713
Rampage,2018,4.0,8.167068178341237,6.482375560322598,7.796057974316123
Rango,2011,4.0,10.091625494651522,8.11612030012497,9.942756341456828
Ratatouille,2007,4.0,10.532416160769422,8.326185947199848,10.254179634797001
Repo Man,1984,4.0,9.569202921360327,6.4947793789057755,9.546884034617925
Requiem for a Dream,2000,4.0,10.489884363149192,8.690596639917162,10.138599199626192
Rio 2,2014,4.0,19.00936179210785,11.697325943919857,19.00846741441004
Rise of the Guardians,2012,4.0,7.340835554123275,5.853246649053787,6.883462586413092
Robin Hood,2018,4.0,7.867871490396322,6.284632074653565,7.591357046698551
Sahara,2005,4.0,10.02424394117191,8.249533011307088,9.34145634983372
Saw,2004,4.0,16.63740068271651,11.078941179602376,16.636889503897294
Scott Pilgrim vs. the World,2010,4.0,10.536486560259796,8.785270196752244,10.130662964963708
Shang-Chi and the Legend of the Ten Rings,2021,4.0,7.395721608602045,5.045478017214166,7.170888478512505
Shazam! Fury of the Gods,2023,4.0,8.083637203141548,6.28152020491908,7.7102051944325325
Shrek,2001,4.0,10.366718297494435,9.10641310952395,9.87822102528824
Shrek 2,2004,4.0,16.562782049142676,6.519504603292106,16.562781536322326
Shrek Forever After,2010,4.0,17.175892924248487,8.751583329672064,17.175885979828397
Shrek the Third,2007,4.0,13.670562239561804,8.788194937503873,13.66119436444038
Sing,2016,4.0,9.744374580879056,6.572181093490034,9.711176264112805
Sing 2,2021,4.0,8.663023639627777,5.961966276453751,8.621733370690162
Snow White and the Seven Dwarfs,1937,4.0,9.081142433504501,7.494790283416193,8.837971491357209
Solo: A Star Wars Story,2018,4.0,12.070779702285991,9.855662367835983,11.6172944892629
Speed Racer,2008,4.0,8.715059959545654,6.034111131558361,8.676075516476429
Spider-Man,2002,4.0,8.448485993406447,4.8767088060956105,8.323851131338817
Spider-Man 2,2004,4.0,8.448485993406447,4.8767088060956105,8.323851131338817
Spider-Man 3,2007,4.0,10.186559012430227,8.815299697405392,9.787009914477434
Spider-Man: Far From Home,2019,4.0,10.39516093745751,8.392079905983437,10.261196961231647
Spider-Man: Homecoming,2017,4.0,11.974291900820301,9.125024129096031,11.944714374881176
Spider-Man: No Way Home,2021,4.0,16.4899433049623,10.368212872848432,16.489659276356317
Spring Breakers,2012,4.0,15.57612381401379,13.896503511242225,15.371547904641702
Star Wars: The Force Awakens,2015,4.0,12.636191341076994,10.785914891081829,12.049424683420915
Star Wars: The Last Jedi,2017,4.0,12.393220039219392,11.247262730053533,11.495789479023493
Sunshine,2007,4.0,6.8690144506657065,3.0206907851023597,6.86484777797086
Swiss Army Man,2016,4.0,6.063785208687608,3.77108475661372,5.857933154483459
Tangerine,2015,4.0,14.77766336180312,10.629074535143003,14.77102238760702
Tangled,2010,4.0,14.81823253191567,8.513488966718711,14.81614280591917
Terminator: Dark Fate,2019,4.0,14.566292955342226,9.40705755984328,14.562198979385785
The Adventures of Pluto Nash,2002,4.0,5.634789603169249,3.734922846443021,5.117993812416755
The Amazing Spider-Man,2012,4.0,11.171139133525246,8.450049965085139,11.12285622984002
The Blair Witch Project,1999,4.0,5.3612921657094255,3.7306035654766823,5.056245805348308
The Book of Life,2014,4.0,7.933079771880415,6.142810000250994,7.62608275807238
The Boondock Saints,1999,4.0,12.281444461553813,8.83715892977145,12.269052139516223
The Croods,2013,4.0,17.860328212187845,9.876673208273855,17.860314692139372
The Croods: A New Age,2020,4.0,8.13739583005665,6.800872991766416,7.65491704784832
The Dark Crystal,1982,4.0,5.771441123130016,3.0755357814800184,5.730099782973575
The Dark Knight,2008,4.0,12.422437271763476,10.912745003112535,12.149507585033072
The Dark Knight Rises,2012,4.0,12.334329527346908,8.805642472457013,12.323860125621126
The Fate of the Furious,2017,4.0,15.124166568625855,11.805978433846947,14.782494784382012
The Flash,2023,4.0,6.025865973825314,4.211160625714496,5.556828061699537
The Fountain,2006,4.0,16.55645651176258,9.958859716993226,16.5563506464056
The Happening,2008,4.0,9.237079669165805,7.643149384226285,8.842315546841863
The Hateful Eight,2015,4.0,13.15330568817585,8.551447721443859,13.102162710901053
The Incredibles,2004,4.0,7.465082736399547,6.126644478047713,6.5998704992128365
The Iron Giant,1999,4.0,17.210173872360677,10.25010579894248,17.21001898503268
The Jungle Book,1967,4.0,5.768320995793772,3.8300902581351406,5.236441962829949
The Lighthouse,2019,4.0,8.992930352509733,5.255477376280835,8.933400396056303
The Lion King (2019),2019,4.0,9.306104993960561,7.84706150427775,8.77043908654689
The Little Mermaid,1989,4.0,1.6094379124341003,0.6931471805599453,0.6931471805599453
The Lone Ranger,2013,4.0,10.786593717019239,8.725683926747978,10.298935994257638
The Lost World: Jurassic Park,1997,4.0,7.845024417241484,6.474463441546443,7.444833273892193
The Marvels,2023,4.0,7.1891677384203225,4.658111054823155,6.777646593635117
The Mummy Returns,2001,4.0,11.018629143155449,7.653305330034656,11.005444242454628
The Mummy: Tomb of the Dragon Emperor,2008,4.0,9.190545744648004,3.525511353796357,9.19023970026918
The Nice Guys,2016,4.0,10.693307620356334,6.304968004732982,10.685126264117057
The Princess Bride,1987,4.0,9.248214024404264,7.524103210862364,9.004668301573977
The Revenant,2015,4.0,8.860357273327022,7.551326037095447,8.289288323000317
The Secret Life of Pets 2,2019,4.0,19.324899105118543,8.486821263240858,19.324898898640836
The Thing,1982,4.0,10.456970285968099,8.074316458853295,10.36410350510914
The Witch,2015,4.0,12.686462772870552,11.168842213816284,12.337105293891872
The Wolf of Wall Street,2013,4.0,10.746217854635562,9.105158822117103,10.413342705547674
The Wolverine,2013,4.0,11.040374594257798,7.969535190312068,11.008760940077243
There Will Be Blood,2007,4.0,10.027959280046968,8.807488955688129,9.332646496360152
This Is Spinal Tap,1984,4.0,10.87193420662744,9.560522560989066,10.379752786950895
Thor,2011,4.0,6.86484777797086,4.479965804335097,6.175867270105761
Thor: Love and Thunder,2022,4.0,10.04316253460861,8.318498926577748,9.814710982145282
Thor: The Dark World,2013,4.0,16.860085375268245,9.819999138775206,16.860033043306743
Titanic,1997,4.0,15.72222179934285,9.319130667453232,15.722085850209309
Tomorrowland,2015,4.0,20.551298960532463,12.227337426397353,20.55129057339425
Top Gun: Maverick,2022,4.0,10.424689159126888,8.741090832905439,10.12667110305036
Toy Story,1995,4.0,16.802707055210902,14.96104903543285,16.103996827998692
Toy Story 2,1999,4.0,11.248191394729853,7.712738687536084,11.234546649377918
Toy Story 3,2010,4.0,9.927838643399959,8.531780687868096,9.392745258631441
Toy Story 4,2019,4.0,16.16870663262348,13.647488605454503,16.103996827998692
Trainspotting,1996,4.0,4.219507705176107,2.412832280298122,4.060443010546419
Transformers,2007,4.0,9.796069365768835,7.244325390202661,9.692828247710418
Transformers: Age of Extinction,2014,4.0,13.185450846274586,7.9208213318439675,13.184400648021263
Transformers: Dark of the Moon,2011,4.0,17.033702549071457,14.01387682258508,16.612791953770035
Transformers: Revenge of the Fallen,2009,4.0,9.675582684120208,7.317443992780809,9.60918360377546
Treasure Planet,2002,4.0,10.843358082930738,5.954156201813337,10.839600519357369
Trolls World Tour,2020,4.0,5.823045895483019,4.651484054651843,5.081404364984463
Tron,1982,4.0,17.678360693000304,9.381005625283706,17.678343340210052
Turning Red,2022,4.0,11.194151682640769,4.193468259901695,11.194110418585193
