title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
Black Widow,2021,success,tt3480822,True,7415.0,1290.0,5.748062015503876,17.0,0.0,-0.0053663724303259,0.1659879066100845,1.0,0.0472868217054263,0.1930232558139535,2.874251497005988,0.3422754491017964,5.181691125087352,1.1976047904191616,5.5089820359281445,11.25748502994012,490.0,0.3798449612403101,212.0,1.1428571428571428
Captain Marvel,2019,success,tt4154664,True,7559.0,1426.0,5.300841514726508,14.0,3.0,-0.0113490646800604,0.1305854151199467,1.0,0.0553997194950911,0.2075736325385694,2.796550920531345,0.3372174318340713,4.742158092848181,1.86436728035423,2.0974131903985085,10.720111862036822,610.0,0.4277699859747546,251.0,1.1428571428571428
Spider-Man: Homecoming,2017,success,tt2250912,True,11862.0,1849.0,6.415359653866955,18.0,1.0,0.0036073773185248,0.1445124302852359,1.0,0.0551649540292049,0.2449972958355868,4.239683436970039,0.25423968343697,4.321311475409836,1.4132278123233466,2.402487280949689,5.652911249293386,653.0,0.3531638723634397,318.0,1.25
Spider-Man: Far From Home,2019,success,tt6320628,True,11528.0,2050.0,5.623414634146341,15.0,3.0,0.00840490810003,0.1443458973491466,1.0,0.0751219512195121,0.1770731707317073,1.7725258493353029,0.2562776957163958,4.603833865814696,1.1816838995568684,3.692762186115214,6.203840472673559,819.0,0.3995121951219512,302.0,2.0
The Amazing Spider-Man,2012,success,tt0948470,True,8046.0,1583.0,5.08275426405559,16.0,1.0,-0.0038812165233517,0.1430092770766458,1.0,0.082122552116235,0.1724573594440935,0.6203473945409429,0.2979735318444996,4.411184210526316,1.0339123242349049,3.101736972704715,3.5153019023986767,695.0,0.4390397978521794,290.0,1.2
The Amazing Spider-Man 2,2014,success,tt1872181,True,10264.0,1710.0,6.002339181286549,18.0,1.0,0.003213340666901,0.1445413343709082,1.0,0.0777777777777777,0.175438596491228,1.0028413839211097,0.2717700150426207,4.716911764705882,1.0028413839211097,6.017048303526659,5.181347150259067,660.0,0.3859649122807017,291.0,1.5
Spider-Man 3,2007,success,tt0413300,True,6739.0,1134.0,5.942680776014109,17.0,1.0,0.0088832733012627,0.1404920588248556,1.0,0.0264550264550264,0.2019400352733686,0.7743933918430562,0.3061435209086215,4.433552631578947,1.2906556530717603,14.197212183789365,9.550851832731029,464.0,0.4091710758377425,228.0,1.0
Spider-Man 2,2004,success,tt0316654,True,6428.0,1105.0,5.817194570135746,17.0,2.0,0.004765505100879,0.1569158310648019,1.0,0.0868778280542986,0.1647058823529411,1.6224986479177934,0.3458626284478096,4.6579710144927535,1.081665765278529,8.112493239588966,4.597079502433748,477.0,0.4316742081447964,219.0,1.3333333333333333
Spider-Man,2002,success,tt0145487,True,7172.0,1163.0,6.166809974204643,16.0,0.0,0.0032818655024158,0.1284310667662584,1.0,0.1427343078245915,0.2020636285468615,3.082760256106237,0.328669670381788,4.310096153846154,0.7114062129475931,6.876926725160067,5.9283851078966086,479.0,0.411865864144454,272.0,1.3333333333333333
Venom,2018,success,tt1270797,True,8205.0,1368.0,5.99780701754386,15.0,0.0,-0.0025322671156004,0.1501479365452268,1.0,0.0782163742690058,0.212719298245614,9.448142581060768,0.2862357741035001,4.538163716814159,0.0,4.294610264118532,3.865149237706678,514.0,0.3757309941520468,253.0,1.2857142857142856
